chip_id,chip_x,chip_y,tile,valid_first,valid_second,valid_third,bad_pct_first,bad_pct_second,bad_pct_third,first_image_date,second_image_date,third_image_date,bad_pct_max,na_count,usage
chip_030_185,-111.02041985945677,48.92301260005542,12UVV,50130.0,50172.0,50176.0,0.0577965561224489,0.0059789540816326,0.0,2022/06/27,2022/09/05,2022/09/10,0.0577965561224489,0.0,train
chip_031_112,-117.45075894082603,48.012635374397256,11UMP,50056.0,50100.0,50118.0,0.0757334183673469,0.0438456632653061,0.0318877551020408,2022/06/23,2022/08/17,2022/09/26,0.0757334183673469,0.0,train
chip_031_195,-110.1110173691708,48.95594661625835,12UWV,50156.0,48696.0,47374.0,0.0239158163265306,1.042330994897959,1.0542889030612246,2022/07/19,2022/08/18,2022/09/27,1.0542889030612246,0.0,train
chip_032_080,-120.19492422980636,47.49003873723685,10TGT,49750.0,50176.0,50174.0,0.3766741071428571,0.0,0.0039859693877551,2022/03/05,2022/08/07,2022/09/26,0.3766741071428571,0.0,train
chip_032_111,-117.51775154869873,47.93959426583192,11UMP,49969.0,50170.0,50089.0,0.1136001275510204,0.0079719387755102,0.0418526785714285,2022/06/23,2022/08/17,2022/09/26,0.1136001275510204,0.0,train
chip_032_183,-111.17050562962976,48.78292031052404,12UVV,50176.0,50176.0,50025.0,0.0,0.0,0.1136001275510204,2022/06/27,2022/09/05,2022/09/10,0.1136001275510204,0.0,train
chip_032_193,-110.27669378547004,48.877265317689805,12UWV,49524.0,49336.0,49840.0,0.5580357142857143,0.4603794642857143,0.3308354591836734,2022/07/19,2022/08/18,2022/09/27,0.5580357142857143,0.0,train
chip_032_197,-109.91844614394292,48.91342029894135,12UWV,50176.0,47729.0,49062.0,0.0,2.090640943877551,0.7214604591836735,2022/07/19,2022/08/18,2022/09/27,2.090640943877551,0.0,train
chip_033_097,-118.71031569956853,47.68373227195654,11TLN,50127.0,50176.0,50176.0,0.0597895408163265,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.0597895408163265,0.0,train
chip_033_148,-114.25949624763524,48.34870419008766,11UPP,49981.0,49845.0,50166.0,0.2252072704081632,0.3368144132653061,0.0159438775510204,2022/07/30,2022/08/14,2022/08/29,0.3368144132653061,0.0,train
chip_033_149,-114.1713419113333,48.36032892089303,11UQP,50018.0,50094.0,50142.0,0.0458386479591836,0.0358737244897959,0.0338807397959183,2022/06/27,2022/08/01,2022/09/25,0.0458386479591836,0.0,train
chip_033_196,-109.99475658114824,48.843979363290906,12UWV,50169.0,49891.0,50176.0,0.0099649234693877,0.2112563775510204,0.0,2022/07/19,2022/08/18,2022/09/27,0.2112563775510204,0.0,train
chip_034_080,-120.15037089401316,47.37232316051599,10TGT,49900.0,48998.0,49582.0,0.217235331632653,0.9267378826530612,0.7254464285714286,2022/03/05,2022/08/07,2022/09/26,0.9267378826530612,0.0,train
chip_034_097,-118.6892978077388,47.62459823780968,11TLN,50155.0,50176.0,50176.0,0.021922831632653,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.021922831632653,0.0,train
chip_034_104,-118.08444459730968,47.72404069468352,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_034_105,-117.99788684569364,47.7380341349198,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_034_112,-117.39094827458638,47.83449402462912,11UMP,49003.0,50172.0,50168.0,0.78125,0.0079719387755102,0.0099649234693877,2022/06/23,2022/08/17,2022/09/26,0.78125,0.0,train
chip_034_146,-114.4184219974444,48.26542571407211,11UPP,49589.0,49678.0,50047.0,0.3607302295918367,0.4225127551020408,0.1076211734693877,2022/07/30,2022/08/14,2022/08/29,0.4225127551020408,0.0,train
chip_034_147,-114.33040985649484,48.27714685861749,11UPP,49198.0,49635.0,50174.0,0.6118463010204082,0.2272002551020408,0.0039859693877551,2022/07/30,2022/08/14,2022/08/29,0.6118463010204082,0.0,train
chip_034_191,-110.42828892503584,48.73799633379813,12UWV,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/07/19,2022/08/18,2022/09/27,0.0,0.0,train
chip_034_197,-109.89205762834614,48.79243853062711,12UWV,50172.0,50174.0,50176.0,0.0039859693877551,0.0039859693877551,0.0,2022/07/19,2022/08/18,2022/09/27,0.0039859693877551,0.0,train
chip_035_095,-118.8406448177495,47.53661633361416,11TLN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.0,0.0,train
chip_035_103,-118.1504288589551,47.65077371081899,11TMN,50133.0,50112.0,50144.0,0.0378667091836734,0.0378667091836734,0.0279017857142857,2022/06/23,2022/08/07,2022/09/26,0.0378667091836734,0.0,train
chip_035_148,-114.22526719830752,48.2289337587612,11UQP,50075.0,50018.0,50146.0,0.0657684948979591,0.1076211734693877,0.0179368622448979,2022/06/27,2022/08/01,2022/09/25,0.1076211734693877,0.0,train
chip_035_215,-108.26647317656376,48.88286557218286,12UXV,49669.0,50176.0,49957.0,0.6875797193877551,0.0,0.09765625,2022/03/21,2022/07/24,2022/09/27,0.6875797193877551,0.0,train
chip_036_075,-120.53281103027572,47.17772973588069,10TFT,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/26,2022/07/31,2022/09/24,0.0,0.0,train
chip_036_103,-118.12992998809035,47.591562841405775,11TMN,50175.0,50176.0,50176.0,0.0019929846938775,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0019929846938775,0.0,train
chip_036_113,-117.26455472941136,47.7293187954823,11TMN,49079.0,50076.0,50173.0,1.3512436224489797,0.0498246173469387,0.0039859693877551,2022/06/23,2022/08/07,2022/09/26,1.3512436224489797,0.0,train
chip_036_117,-116.91738938689782,47.78292512470943,11TNN,49995.0,49902.0,50097.0,0.1036352040816326,0.1793686224489795,0.0856983418367346,2022/06/25,2022/07/30,2022/08/29,0.1793686224489795,0.0,train
chip_036_118,-116.83050892862182,47.79619262614372,11TNN,50155.0,50106.0,49995.0,0.0298947704081632,0.0378667091836734,0.0956632653061224,2022/06/25,2022/07/30,2022/08/29,0.0956632653061224,0.0,train
chip_036_147,-114.29608747747892,48.157426853618695,11UPP,49857.0,49671.0,50157.0,0.177375637755102,0.3427933673469387,0.0139508928571428,2022/07/30,2022/08/14,2022/08/29,0.3427933673469387,0.0,train
chip_036_149,-114.12028130434014,48.18065056316767,11UQP,50054.0,50113.0,50169.0,0.0956632653061224,0.0817123724489796,0.0079719387755102,2022/06/27,2022/08/01,2022/09/25,0.0956632653061224,0.0,train
chip_036_196,-109.9550386333768,48.66260114476088,12UWU,49282.0,49373.0,50016.0,0.6277901785714286,0.6257971938775511,0.119579081632653,2022/06/29,2022/08/08,2022/09/27,0.6277901785714286,0.0,train
chip_037_098,-118.54039900836922,47.46156831441261,11TLN,50154.0,50164.0,50175.0,0.0418526785714285,0.0139508928571428,0.0019929846938775,2022/03/05,2022/08/02,2022/09/06,0.0418526785714285,0.0,train
chip_037_101,-118.28195278993388,47.504202990066105,11TLN,50152.0,50170.0,50168.0,0.021922831632653,0.0079719387755102,0.0079719387755102,2022/03/05,2022/08/02,2022/09/06,0.021922831632653,0.0,train
chip_037_102,-118.1957291823358,47.51830865720541,11TMN,50135.0,50176.0,50176.0,0.039859693877551,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.039859693877551,0.0,train
chip_037_107,-117.76405494031904,47.588040949859774,11TMN,50170.0,50172.0,50176.0,0.0079719387755102,0.0079719387755102,0.0,2022/06/23,2022/08/07,2022/09/26,0.0079719387755102,0.0,train
chip_037_148,-114.19116467126628,48.10921009926271,11UQP,50162.0,48559.0,50115.0,0.0179368622448979,2.3317920918367347,0.0657684948979591,2022/06/27,2022/08/01,2022/09/25,2.3317920918367347,0.0,train
chip_037_149,-114.10332403775622,48.12078118450249,11UQP,49504.0,50124.0,50168.0,0.3427933673469387,0.0637755102040816,0.0119579081632653,2022/06/27,2022/08/01,2022/09/25,0.3427933673469387,0.0,train
chip_037_168,-112.4285541390952,48.330172264235294,12UUU,50176.0,50116.0,50174.0,0.0,0.0498246173469387,0.0019929846938775,2022/06/27,2022/08/31,2022/09/25,0.0498246173469387,0.0,train
chip_038_085,-119.63463311285734,47.21243253426646,10TGT,50143.0,50125.0,50148.0,0.0558035714285714,0.0259088010204081,0.0298947704081632,2022/03/05,2022/08/07,2022/09/26,0.0558035714285714,0.0,train
chip_038_103,-118.0890438052509,47.473169019360526,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_038_106,-117.83026109277696,47.51496185297572,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_038_107,-117.74392669955512,47.52878658926491,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_038_108,-117.6575557602218,47.54255815355762,11TMN,49954.0,50123.0,50098.0,0.1076211734693877,0.0817123724489796,0.0936702806122449,2022/06/23,2022/08/07,2022/09/26,0.1076211734693877,0.0,train
chip_038_109,-117.57114839434333,47.55627650527737,11TMN,49776.0,50034.0,50130.0,0.2431441326530612,0.0518176020408163,0.0199298469387755,2022/06/23,2022/08/07,2022/09/26,0.2431441326530612,0.0,train
chip_038_201,-109.48290752147832,48.58563753150013,12UXU,49995.0,49727.0,50036.0,0.1753826530612245,0.3049266581632653,0.1155931122448979,2022/04/07,2022/07/21,2022/08/30,0.3049266581632653,0.0,train
chip_038_203,-109.30442837004436,48.6027972651072,12UXU,50176.0,49773.0,50124.0,0.0,0.2790178571428571,0.0378667091836734,2022/04/07,2022/07/21,2022/08/30,0.2790178571428571,0.0,train
chip_038_238,-106.16681224998408,48.86630722149259,13UDQ,49816.0,50176.0,50176.0,0.2092633928571428,0.0,0.0,2022/03/30,2022/08/12,2022/09/11,0.2092633928571428,0.0,train
chip_038_239,-106.07680514399348,48.872807725460696,13UDQ,50011.0,50176.0,50176.0,0.0737404336734693,0.0,0.0,2022/03/30,2022/08/12,2022/09/11,0.0737404336734693,0.0,train
chip_039_104,-117.98250606049608,47.42795434609679,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_039_109,-117.55120519460294,47.49700085427692,11TMN,49869.0,50067.0,50095.0,0.1474808673469387,0.0597895408163265,0.0856983418367346,2022/06/23,2022/08/07,2022/09/26,0.1474808673469387,0.0,train
chip_039_111,-117.37843054652856,47.5242473054538,11TMN,50124.0,50165.0,50176.0,0.0318877551020408,0.0159438775510204,0.0,2022/06/23,2022/08/07,2022/09/26,0.0318877551020408,0.0,train
chip_039_112,-117.29198920851525,47.53779062312415,11TMN,49786.0,50176.0,50173.0,0.29296875,0.0,0.0059789540816326,2022/06/23,2022/08/07,2022/09/26,0.29296875,0.0,train
chip_039_113,-117.20551202195144,47.55128061546863,11TMN,50074.0,50148.0,50149.0,0.0577965561224489,0.0498246173469387,0.0438456632653061,2022/06/23,2022/08/07,2022/09/26,0.0577965561224489,0.0,train
chip_039_168,-112.39773018765676,48.20998471011332,12UUU,49945.0,50169.0,50167.0,0.1076211734693877,0.0139508928571428,0.0099649234693877,2022/06/27,2022/08/31,2022/09/25,0.1076211734693877,0.0,train
chip_039_202,-109.3810306238582,48.53377861533574,12UXU,50176.0,50176.0,50141.0,0.0,0.0,0.0478316326530612,2022/04/07,2022/07/21,2022/08/30,0.0478316326530612,0.0,train
chip_039_238,-106.15715635796968,48.80551652629575,13UDQ,50051.0,50176.0,50176.0,0.2471301020408163,0.0,0.0,2022/03/30,2022/08/12,2022/09/11,0.2471301020408163,0.0,train
chip_040_085,-119.59127428000193,47.094649405251154,10TGT,50006.0,50156.0,50163.0,0.2311862244897959,0.0159438775510204,0.0139508928571428,2022/03/05,2022/08/07,2022/09/26,0.2311862244897959,0.0,train
chip_040_089,-119.24945791920364,47.15393256462772,11TLN,49851.0,49960.0,50022.0,0.1933195153061224,0.177375637755102,0.1454878826530612,2022/03/05,2022/08/02,2022/09/06,0.1933195153061224,0.0,train
chip_040_100,-118.30631393154523,47.31263549214072,11TLN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.0,0.0,train
chip_040_104,-117.96222916103451,47.36876476726399,11TMN,50175.0,50171.0,50175.0,0.0019929846938775,0.0059789540816326,0.0019929846938775,2022/06/23,2022/08/07,2022/09/26,0.0059789540816326,0.0,train
chip_040_111,-117.35867219939928,47.46495066584905,11TMN,50100.0,50169.0,50172.0,0.0518176020408163,0.0079719387755102,0.0059789540816326,2022/06/23,2022/08/07,2022/09/26,0.0518176020408163,0.0,train
chip_040_114,-117.09946444646184,47.50537544037397,11TMN,50173.0,50176.0,50176.0,0.0059789540816326,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0059789540816326,0.0,train
chip_040_196,-109.90242824199112,48.420953614851896,12UWU,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/29,2022/08/08,2022/09/27,0.0,0.0,train
chip_041_089,-119.22812456661454,47.09498831387359,11TLN,50006.0,50072.0,50070.0,0.159438775510204,0.1076211734693877,0.1116071428571428,2022/03/05,2022/08/02,2022/09/06,0.159438775510204,0.0,train
chip_041_099,-118.37163541371996,47.239368145908855,11TLN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.0,0.0,train
chip_041_103,-118.02799194264588,47.295646640181054,11TMN,50165.0,50082.0,50158.0,0.0159438775510204,0.1056281887755102,0.0318877551020408,2022/06/23,2022/08/07,2022/09/26,0.1056281887755102,0.0,train
chip_041_115,-116.99356616050812,47.45939651652482,11TMN,50171.0,50174.0,50169.0,0.0059789540816326,0.0039859693877551,0.0139508928571428,2022/06/23,2022/08/07,2022/09/26,0.0139508928571428,0.0,train
chip_041_195,-109.9781746889331,48.35165992469808,12UWU,50176.0,50174.0,50176.0,0.0,0.0039859693877551,0.0,2022/06/29,2022/08/08,2022/09/27,0.0039859693877551,0.0,train
chip_041_206,-108.99964049209714,48.4466325080616,12UXU,50164.0,50176.0,50176.0,0.0199298469387755,0.0,0.0,2022/04/07,2022/07/21,2022/08/30,0.0199298469387755,0.0,train
chip_041_210,-108.64310985929627,48.47947747584416,12UXU,50174.0,50170.0,49826.0,0.0039859693877551,0.0099649234693877,0.4504145408163265,2022/04/07,2022/07/21,2022/08/30,0.4504145408163265,0.0,train
chip_042_092,-118.95049664209724,47.07986916825989,11TLN,50169.0,50176.0,50163.0,0.0139508928571428,0.0,0.0159438775510204,2022/03/05,2022/08/02,2022/09/06,0.0159438775510204,0.0,train
chip_042_100,-118.26528323190728,47.19440707082703,11TLN,50164.0,50174.0,50176.0,0.0159438775510204,0.0039859693877551,0.0,2022/03/05,2022/08/02,2022/09/06,0.0159438775510204,0.0,train
chip_042_168,-112.3517083877896,48.0297942209889,12UUU,50134.0,50153.0,50135.0,0.0458386479591836,0.0279017857142857,0.0657684948979591,2022/06/27,2022/08/31,2022/09/25,0.0657684948979591,0.0,train
chip_043_099,-118.33053276112152,47.12118812093262,11TLN,50108.0,50154.0,50158.0,0.1096141581632653,0.021922831632653,0.0239158163265306,2022/03/05,2022/08/02,2022/09/06,0.1096141581632653,0.0,train
chip_043_104,-117.90161830969684,47.19124969379238,11TMN,50176.0,50175.0,50176.0,0.0,0.0019929846938775,0.0,2022/06/23,2022/08/07,2022/09/26,0.0019929846938775,0.0,train
chip_043_106,-117.72979681514784,47.2189049008276,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_043_108,-117.55783060426585,47.24634852878874,11TMN,50176.0,50174.0,50176.0,0.0,0.0039859693877551,0.0,2022/06/23,2022/08/07,2022/09/26,0.0039859693877551,0.0,train
chip_043_114,-117.04107314727749,47.327406762316485,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_043_194,-110.0405544953648,48.22201212462493,12UWU,49274.0,50176.0,49170.0,0.4763233418367347,0.0,0.5640146683673469,2022/06/29,2022/08/08,2022/09/27,0.5640146683673469,0.0,train
chip_043_226,-107.19231538748406,48.48051192647885,13UCP,50175.0,50047.0,50176.0,0.0019929846938775,0.1893335459183673,0.0,2022/03/30,2022/08/07,2022/09/26,0.1893335459183673,0.0,train
chip_043_238,-106.11871481767696,48.56249894815432,13UDP,50104.0,48048.0,50176.0,0.0478316326530612,2.738360969387755,0.0,2022/06/23,2022/08/27,2022/09/21,2.738360969387755,0.0,train
chip_044_085,-119.50502239455484,46.85917843044053,10TGT,50118.0,50077.0,49549.0,0.0538105867346938,0.079719387755102,0.8031728316326531,2022/03/05,2022/08/07,2022/09/26,0.8031728316326531,0.0,train
chip_044_090,-119.07909167869954,46.932830029541805,11TLN,50079.0,50173.0,50169.0,0.0478316326530612,0.0039859693877551,0.0139508928571428,2022/03/05,2022/08/02,2022/09/06,0.0478316326530612,0.0,train
chip_044_093,-118.82307732368332,46.97639491590142,11TLN,50174.0,50176.0,50176.0,0.0039859693877551,0.0,0.0,2022/03/05,2022/08/02,2022/09/06,0.0039859693877551,0.0,train
chip_044_169,-112.23328291661228,47.92010982839157,12UVU,45462.0,50172.0,48563.0,4.231106505102041,0.0059789540816326,1.8415178571428568,2022/03/11,2022/08/01,2022/09/27,4.231106505102041,0.0,train
chip_044_193,-110.11592043808828,48.15269727233049,12UWU,49006.0,50176.0,50175.0,0.5201690051020408,0.0,0.0019929846938775,2022/06/29,2022/08/08,2022/09/27,0.5201690051020408,0.0,train
chip_044_219,-107.80613725087446,48.36834542816986,12UYU,50176.0,50157.0,50092.0,0.0,0.0139508928571428,0.0338807397959183,2022/07/01,2022/08/15,2022/09/24,0.0338807397959183,0.0,train
chip_044_225,-107.27101166388292,48.41269659414538,13UCP,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/03/30,2022/08/07,2022/09/26,0.0,0.0,train
chip_045_106,-117.68986503691625,47.10054456466805,11TMN,50174.0,50176.0,50176.0,0.0019929846938775,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0019929846938775,0.0,train
chip_045_169,-112.21813432910317,47.86008155182245,12UVU,47454.0,50171.0,48072.0,2.1683673469387754,0.0079719387755102,3.4378985969387754,2022/03/11,2022/08/01,2022/09/27,3.4378985969387754,0.0,train
chip_045_170,-112.13029902514992,47.8703979145659,12UVU,48684.0,50026.0,49934.0,1.6143176020408163,0.09765625,0.3687021683673469,2022/03/11,2022/08/01,2022/09/27,1.6143176020408163,0.0,train
chip_045_173,-111.86662664982096,47.90101622621996,12UVU,48705.0,50176.0,50176.0,2.365672831632653,0.0,0.0,2022/03/11,2022/08/01,2022/09/27,2.365672831632653,0.0,train
chip_045_187,-110.63295271926434,48.03731884466214,12UWU,50130.0,50152.0,49402.0,0.079719387755102,0.0438456632653061,1.2715242346938775,2022/06/29,2022/08/08,2022/09/27,1.2715242346938775,0.0,train
chip_045_215,-108.1510246282513,48.27713471799148,12UYU,50164.0,50176.0,50176.0,0.0239158163265306,0.0,0.0,2022/07/01,2022/08/15,2022/09/24,0.0239158163265306,0.0,train
chip_045_229,-106.90356555231574,48.38049699382135,13UCP,50167.0,50176.0,50094.0,0.0159438775510204,0.0,0.0876913265306122,2022/03/30,2022/08/07,2022/09/26,0.0876913265306122,0.0,train
chip_045_243,-105.6523211545186,48.47273841046943,13UDP,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/27,2022/09/21,0.0,0.0,train
chip_046_105,-117.7556621857996,47.027621625673646,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_046_172,-111.93966081102934,47.83081336594996,12UVU,48492.0,49918.0,48391.0,1.6043526785714286,0.1793686224489795,1.331313775510204,2022/03/11,2022/08/01,2022/09/27,1.6043526785714286,0.0,train
chip_046_229,-106.8932906476548,48.31987752196275,13UCP,50174.0,50176.0,50176.0,0.0039859693877551,0.0,0.0,2022/03/30,2022/08/07,2022/09/26,0.0039859693877551,0.0,train
chip_046_240,-105.9113798540175,48.393205790454665,13UDP,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/27,2022/09/21,0.0,0.0,train
chip_047_089,-119.10092593458766,46.74149025909553,11TLM,50051.0,49719.0,50163.0,0.0717474489795918,0.2132493622448979,0.0119579081632653,2022/04/24,2022/08/07,2022/09/26,0.2132493622448979,0.0,train
chip_047_106,-117.6500772074842,46.982218780804224,11TMN,50176.0,50176.0,50176.0,0.0,0.0,0.0,2022/06/23,2022/08/07,2022/09/26,0.0,0.0,train
chip_047_172,-111.92480405912131,47.770772999206,12TVT,50176.0,50065.0,50176.0,0.0,0.0817123724489796,0.0,2022/07/14,2022/08/08,2022/09/02,0.0817123724489796,0.0,train
chip_047_189,-110.42925783686488,47.93543161216061,12UWU,50079.0,50161.0,50164.0,0.1036352040816326,0.0298947704081632,0.0239158163265306,2022/06/29,2022/08/08,2022/09/27,0.1036352040816326,0.0,train
chip_047_230,-106.79394616816948,48.26621349060369,13UCP,50176.0,50167.0,49990.0,0.0,0.0179368622448979,0.1674107142857142,2022/03/30,2022/08/07,2022/09/26,0.1674107142857142,0.0,train
chip_048_090,-118.99488261851786,46.69716394270568,11TLM,50175.0,50170.0,50145.0,0.0019929846938775,0.0059789540816326,0.0518176020408163,2022/04/24,2022/08/07,2022/09/26,0.0518176020408163,0.0,train
chip_048_091,-118.90986890702862,46.71167487400224,11TLM,49427.0,50174.0,50172.0,0.8111447704081632,0.0039859693877551,0.0079719387755102,2022/04/24,2022/08/07,2022/09/26,0.8111447704081632,0.0,train
chip_048_171,-111.99762935911916,47.70057284891496,12TVT,50011.0,49931.0,49967.0,0.1136001275510204,0.253109056122449,0.1295440051020408,2022/07/14,2022/08/08,2022/09/02,0.253109056122449,0.0,train
chip_048_176,-111.55908416744518,47.75087864591867,12TVT,50176.0,49054.0,48408.0,0.0,1.4708227040816326,1.106106505102041,2022/07/14,2022/08/08,2022/09/02,1.4708227040816326,0.0,train
chip_048_231,-106.69476658308233,48.21249007260692,13UCP,50176.0,50175.0,50176.0,0.0,0.0019929846938775,0.0,2022/03/30,2022/08/07,2022/09/26,0.0019929846938775,0.0,train
chip_048_255,-104.55284671725424,48.36051492189727,13UEP,49557.0,49957.0,50096.0,0.5560427295918368,0.2132493622448979,0.1056281887755102,2022/03/17,2022/08/09,2022/09/26,0.5560427295918368,0.0,train
chip_049_045,-122.7559704584857,45.93280320842571,10TER,50112.0,50157.0,49998.0,0.0518176020408163,0.0239158163265306,0.1235650510204081,2022/04/07,2022/08/15,2022/09/24,0.1235650510204081,0.0,train
chip_049_071,-120.58059357308296,46.35302554388487,10TFS,50026.0,50043.0,49748.0,0.1076211734693877,0.159438775510204,0.6118463010204082,2022/05/17,2022/08/05,2022/09/24,0.6118463010204082,0.0,train
chip_049_086,-119.31331838674492,46.57976582495583,10TGS,50176.0,50031.0,49318.0,0.0,0.0936702806122449,0.7413903061224489,2022/03/05,2022/08/07,2022/09/26,0.7413903061224489,0.0,train
chip_049_089,-119.05882931409326,46.623719212547606,11TLM,50053.0,50176.0,50174.0,0.0518176020408163,0.0,0.0039859693877551,2022/04/24,2022/08/07,2022/09/26,0.0518176020408163,0.0,train
chip_049_103,-117.8667958026734,46.822636638912655,11TMM,50172.0,50167.0,50155.0,0.0039859693877551,0.0139508928571428,0.0418526785714285,2022/04/06,2022/07/30,2022/09/26,0.0418526785714285,0.0,train
